Temperature (K),Brightness (watts/m2),Parallax (arcsec),distance(parsec),Distance(meters),luminosity(watts),Luminosity(Solar)
5295.385571,1.61E-12,0.0096685,103.4286601,3.19181E+18,2.06E+26,5.36E-01
5277.69402,2.83E-11,0.011515,86.84324794,2.67998E+18,2.56E+27,6.64E+00
5265.92817,2.03E-12,0.00887328,112.6978975,3.47786E+18,3.09E+26,8.03E-01
5260.10209,2.15E-12,0.00811867,123.1728842,3.80112E+18,3.90E+26,1.01E+00
5254.081176,2.21E-12,0.0101175,98.83864591,3.05016E+18,2.58E+26,6.71E-01
5251.167691,2.81E-12,0.00980711,101.9668383,3.1467E+18,3.49E+26,9.08E-01
5247.904021,1.65E-12,0.00994074,100.5961327,3.1044E+18,1.99E+26,5.19E-01
5229.96891,1.62E-12,0.00832559,120.1116077,3.70664E+18,2.79E+26,7.25E-01
5228.688069,1.77E-12,0.00819673,121.9998707,3.76492E+18,3.15E+26,8.18E-01
5227.672457,1.24E-12,0.00874629,114.334192,3.52835E+18,1.95E+26,5.06E-01
5225.008824,1.91E-12,0.010086,99.14733294,3.05969E+18,2.25E+26,5.85E-01
5220.287786,2.03E-12,0.0128382,77.89253945,2.40376E+18,1.47E+26,3.83E-01
5218.59639,1.56E-12,0.0105587,94.7086289,2.92271E+18,1.67E+26,4.35E-01
5217.946298,1.73E-12,0.00999673,100.0327107,3.08701E+18,2.07E+26,5.39E-01
5215.042849,1.62E-12,0.0117175,85.34243653,2.63367E+18,1.42E+26,3.68E-01
5211.575847,1.35E-11,0.0102265,97.78516599,3.01765E+18,1.55E+27,4.03E+00
5210.721909,1.15E-12,0.00933316,107.144847,3.30649E+18,1.58E+26,4.11E-01
5207.542076,2.78E-11,0.00894276,111.8223009,3.45084E+18,4.16E+27,1.08E+01
5198.343849,1.54E-12,0.0101078,98.9334969,3.05309E+18,1.80E+26,4.69E-01
5198.256872,1.93E-12,0.0101454,98.56683817,3.04177E+18,2.24E+26,5.84E-01
5196.6288,1.22E-12,0.0104379,95.80471168,2.95653E+18,1.34E+26,3.49E-01
5187.402938,1.84E-12,0.00883515,113.1842697,3.49287E+18,2.83E+26,7.35E-01
5187.36407,1.62E-12,0.0100286,99.71481563,3.0772E+18,1.93E+26,5.02E-01
5186.774386,2.09E-12,0.0114149,87.60479724,2.70348E+18,1.92E+26,4.98E-01
